,model_name,mode,image_type,epoch,learning_rate,batch_size,batch_index,loss_batch,avg_train_loss_till_current_batch,avg_train_top1_acc_till_current_batch,avg_val_loss_till_current_batch,avg_val_top1_acc_till_current_batch,avg_test_loss_till_current_batch,avg_test_top1_acc_till_current_batch
0,mbertminus1lastmodel,train,original,1,2e-05,32,1,1.1055327653884888,1.1055327653884888,28.125,,,,
1,mbertminus1lastmodel,train,original,1,2e-05,32,2,1.1482226848602295,1.1268777251243591,32.8125,,,,
2,mbertminus1lastmodel,train,original,1,2e-05,32,3,1.079344391822815,1.111033280690511,37.5,,,,
3,mbertminus1lastmodel,train,original,1,2e-05,32,4,1.1331020593643188,1.116550475358963,33.59375,,,,
4,mbertminus1lastmodel,train,original,1,2e-05,32,5,1.0797244310379028,1.109185266494751,35.0,,,,
5,mbertminus1lastmodel,train,original,1,2e-05,32,6,1.0366151332855225,1.097090244293213,38.020833333333336,,,,
6,mbertminus1lastmodel,train,original,1,2e-05,32,7,1.1116597652435303,1.0991716044289725,38.392857142857146,,,,
7,mbertminus1lastmodel,train,original,1,2e-05,32,8,1.1664814949035645,1.1075853407382965,36.328125,,,,
8,mbertminus1lastmodel,train,original,1,2e-05,32,9,1.067033290863037,1.1030795574188232,36.111111111111114,,,,
9,mbertminus1lastmodel,train,original,1,2e-05,32,10,1.0862892866134644,1.1014005303382874,36.875,,,,
10,mbertminus1lastmodel,train,original,1,2e-05,32,11,1.0635758638381958,1.0979619242928245,37.5,,,,
11,mbertminus1lastmodel,train,original,1,2e-05,32,12,0.9687032699584961,1.0871903697649639,39.583333333333336,,,,
12,mbertminus1lastmodel,train,original,1,2e-05,32,13,1.0764060020446777,1.0863608030172496,39.90384615384615,,,,
13,mbertminus1lastmodel,train,original,1,2e-05,32,14,1.0050005912780762,1.0805493593215942,40.401785714285715,,,,
14,mbertminus1lastmodel,train,original,1,2e-05,32,15,1.004994511604309,1.0755123694737752,41.458333333333336,,,,
15,mbertminus1lastmodel,train,original,1,2e-05,32,16,1.0323443412780762,1.072814367711544,41.9921875,,,,
16,mbertminus1lastmodel,train,original,1,2e-05,32,17,1.026102900505066,1.070066634346457,42.279411764705884,,,,
17,mbertminus1lastmodel,train,original,1,2e-05,32,18,0.9737740755081177,1.064717047744327,43.576388888888886,,,,
18,mbertminus1lastmodel,train,original,1,2e-05,32,19,1.048734426498413,1.063875857152437,43.75,,,,
19,mbertminus1lastmodel,train,original,1,2e-05,32,20,1.0861350297927856,1.0649888157844543,43.59375,,,,
20,mbertminus1lastmodel,train,original,1,2e-05,32,21,1.0514755249023438,1.064345325742449,43.30357142857143,,,,
21,mbertminus1lastmodel,train,original,1,2e-05,32,22,0.9819612503051758,1.0606005950407549,43.89204545454545,,,,
22,mbertminus1lastmodel,train,original,1,2e-05,32,23,1.0073554515838623,1.0582855888034985,43.88586956521739,,,,
23,mbertminus1lastmodel,train,original,1,2e-05,32,24,1.0219365358352661,1.0567710449298222,44.010416666666664,,,,
24,mbertminus1lastmodel,train,original,1,2e-05,32,25,0.9237425923347473,1.0514499068260192,44.75,,,,
25,mbertminus1lastmodel,train,original,1,2e-05,32,26,0.9690027832984924,1.0482788636134222,45.19230769230769,,,,
26,mbertminus1lastmodel,train,original,1,2e-05,32,27,1.0156080722808838,1.0470688343048096,45.486111111111114,,,,
27,mbertminus1lastmodel,train,original,1,2e-05,32,28,0.960671603679657,1.0439832189253397,46.316964285714285,,,,
28,mbertminus1lastmodel,train,original,1,2e-05,32,29,0.9407954812049866,1.0404250210729138,46.875,,,,
29,mbertminus1lastmodel,train,original,1,2e-05,32,30,1.1260937452316284,1.0432806452115377,46.354166666666664,,,,
30,mbertminus1lastmodel,train,original,1,2e-05,32,31,1.0008645057678223,1.0419123826488372,46.67338709677419,,,,
31,mbertminus1lastmodel,train,original,1,2e-05,32,32,0.8819776177406311,1.0369144212454557,47.16796875,,,,
32,mbertminus1lastmodel,train,original,1,2e-05,32,33,0.954296886920929,1.034410859599258,47.63257575757576,,,,
33,mbertminus1lastmodel,train,original,1,2e-05,32,34,0.8980302214622498,1.0303996643599342,47.97794117647059,,,,
34,mbertminus1lastmodel,train,original,1,2e-05,32,35,0.9445071220397949,1.027945591722216,48.035714285714285,,,,
35,mbertminus1lastmodel,train,original,1,2e-05,32,36,0.9755580425262451,1.026490382022328,48.00347222222222,,,,
36,mbertminus1lastmodel,train,original,1,2e-05,32,37,0.83935546875,1.0214326816636163,48.395270270270274,,,,
37,mbertminus1lastmodel,train,original,1,2e-05,32,38,0.8955490589141846,1.0181199547491575,48.848684210526315,,,,
38,mbertminus1lastmodel,train,original,1,2e-05,32,39,0.978511393070221,1.0171043506035438,48.87820512820513,,,,
39,mbertminus1lastmodel,train,original,1,2e-05,32,40,0.9474955797195435,1.0153641313314439,48.828125,,,,
40,mbertminus1lastmodel,train,original,1,2e-05,32,41,0.9988634586334229,1.0149616758997848,48.6280487804878,,,,
41,mbertminus1lastmodel,train,original,1,2e-05,32,42,0.8867644667625427,1.011909361396517,48.88392857142857,,,,
42,mbertminus1lastmodel,train,original,1,2e-05,32,43,0.854248046875,1.0082428191983424,49.491279069767444,,,,
43,mbertminus1lastmodel,train,original,1,2e-05,32,44,0.893531322479248,1.0056357397274538,49.78693181818182,,,,
44,mbertminus1lastmodel,train,original,1,2e-05,32,45,0.8265578746795654,1.0016562316152784,50.06944444444444,,,,
45,mbertminus1lastmodel,train,original,1,2e-05,32,46,0.9541681408882141,1.000623881816864,50.203804347826086,,,,
46,mbertminus1lastmodel,train,original,1,2e-05,32,47,0.9411088228225708,0.9993576039659217,50.33244680851064,,,,
47,mbertminus1lastmodel,train,original,1,2e-05,32,48,0.8970167636871338,0.9972255031267802,50.390625,,,,
48,mbertminus1lastmodel,train,original,1,2e-05,32,49,0.9894840717315674,0.9970675147309596,50.38265306122449,,,,
49,mbertminus1lastmodel,train,original,1,2e-05,32,50,0.8412942886352539,0.9939520502090454,50.5625,,,,
